牛号,出生日期,父亲牛号,外祖父号,胎次,繁殖状态
1121,03/25/2011,,,7,复检+
1154,08/07/2014,,,4,复检+
1234,03/11/2015,,,3,初检-
1307,01/18/2015,,,4,已配未检
1308,01/21/2015,,,3,复检+
1323,01/07/2015,,,5,产后未配
1352,06/02/2015,,,3,已配未检
1415,12/25/2012,,,5,复检+
1456,02/01/2014,,,5,初检+
1512,07/22/2013,,,5,复检+
1524,12/30/2013,,,5,初检-
1556,06/09/2015,,,3,复检+
1560,05/30/2013,,,5,产后未配
1570,09/12/2013,,,5,已配未检
1576,05/21/2015,,,3,已配未检
1604,06/29/2013,,,6,初检-
1622,05/05/2015,,,4,复检+
1623,08/13/2013,,,5,复检+
1625,10/10/2013,,,5,初检+
1648,09/08/2013,,,5,已配未检
1707,09/22/2013,,,6,初检+
1751,10/08/2014,,,4,初检+
1757,03/20/2014,,,4,复检+
1777,03/13/2014,,,5,已配未检
1792,01/11/2014,,,5,复检+
1808,12/20/2014,,,3,复检+
1820,01/22/2014,,,5,产后未配
1843,01/22/2014,,,5,复检+
1862,03/06/2014,,,6,已配未检
1875,04/27/2014,,,4,流产未配
1894,11/24/2014,,,4,已配未检
1906,10/24/2014,,,4,已配未检
1915,12/24/2014,,,4,初检+
1927,01/25/2014,,,5,复检+
1944,01/01/2015,,,3,复检+
1977,10/06/2014,,,5,已配未检
1979,11/09/2014,,,4,复检+
1997,03/09/2015,,,4,产后未配
1998,05/09/2015,,,4,已配未检
2008,05/03/2015,1028,,4,复检+
2015,03/10/2015,1078,,3,复检+
2019,05/22/2015,1083,,3,已配未检
2023,03/15/2015,1087,,3,复检+
2026,05/05/2015,1098,,4,已配未检
2037,07/29/2015,1118,,4,复检+
2042,02/10/2015,1142,,3,初检-
2051,02/24/2015,1173,,4,产后未配
2055,02/23/2015,1184,,4,初检-
2057,06/01/2015,1187,,4,初检+
2061,01/02/2015,1195,,4,已配未检
2067,08/01/2015,1210,,3,复检+
2070,02/10/2015,1213,,3,已配未检
2076,04/10/2015,1223,,4,已配未检
2082,05/01/2015,1238,,4,产后未配
2110,02/01/2015,1336,,4,已配未检
2112,04/02/2015,1339,,3,已配未检
2119,03/24/2016,,,3,初检-
2138,01/20/2015,,,4,初检+
2140,01/20/2015,,,4,复检+
2146,01/05/2015,,,4,产后未配
2152,02/08/2015,,,4,初检+
2156,02/08/2015,,,4,产后未配
2158,01/24/2015,,,4,初检+
2161,12/29/2015,,,2,复检+
2162,11/29/2015,,,4,产后未配
2166,03/03/2016,,,3,初检+
2169,04/28/2016,,,3,已配未检
2181,06/25/2016,,,3,复检+
2186,11/22/2015,,,3,复检+
2189,02/29/2016,,,1,复检+
