,牛号,月龄,胎次,繁殖状态,泌乳天数,产后天数,空怀天数,配种次数,奶量1,奶量2,牛舍名称,出生日期,父亲牛号,外祖父号,繁殖代码,怀孕日期,产犊日期,干奶日期,配种日期,流产日期,与配公牛,配种组
0,90186.0,147.7,9,禁配,375.0,375.0,375.0,4.0,147.7,147.7,A4SS,07/17/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,09/11/2020,12/31/1969,-1,0
1,90333.0,148.7,8,空怀,534.0,534.0,534.0,6.0,148.7,148.7,B5NN,06/17/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,04/24/2020,12/31/1969,-1,0
2,90409.0,148.7,11,产犊,24.0,24.0,24.0,0.0,148.7,148.7,B3SS,06/17/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,12/31/1969,12/31/1969,-1,0
3,91253.0,148.64,10,空怀,185.0,185.0,185.0,3.0,148.64,148.64,B2NN,06/19/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,10/02/2020,12/31/1969,-1,0
4,91443.0,151.22,10,怀孕,120.0,120.0,61.0,1.0,151.22,151.22,A1NN,04/01/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,09/09/2020,12/31/1969,-1,0
5,92252.0,148.64,10,怀孕,283.0,292.0,65.0,1.0,148.64,148.64,B6N1,06/19/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,03/25/2020,12/31/1969,-1,0
6,92672.0,148.67,9,怀孕,291.0,291.0,192.0,4.0,148.67,148.67,C3N4,06/18/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,07/31/2020,12/31/1969,-1,0
7,92737.0,148.67,9,产犊,17.0,17.0,17.0,0.0,148.67,148.67,C3N2,06/18/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,12/31/1969,12/31/1969,-1,0
8,92751.0,148.67,11,产犊,61.0,61.0,61.0,0.0,148.67,148.67,B2SS,06/18/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,12/31/1969,12/31/1969,-1,0
9,92970.0,145.7,10,怀孕,169.0,169.0,105.0,2.0,145.7,145.7,A3NN,09/17/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,09/04/2020,12/31/1969,-1,0
10,93032.0,147.7,11,怀孕,135.0,135.0,62.0,1.0,147.7,147.7,B2NN,07/17/2008,-1,-1,-1,12/31/1969,12/31/1969,12/31/1969,08/26/2020,12/31/1969,-1,0
