,牛号,月龄,胎次,繁殖状态,泌乳天数,产后天数,空怀天数,配种次数,奶量1,奶量2,牛舍名称,出生日期,父亲牛号,外祖父号,繁殖代码,怀孕日期,产犊日期,干奶日期,配种日期,流产日期,与配公牛,配种组
0,1121.0,115.559210526316,7,复检+,322.0,322.0,171.0,4.0,115.559210526316,115.559210526316,红达103高产,03/25/2011,-1,-1,-1,06/08/2020,12/19/2019,01/01/1970,06/08/2020,01/01/1970,029HO18790,0
1,1154.0,75.0657894736842,4,复检+,216.0,216.0,43.0,1.0,75.0657894736842,75.0657894736842,红达103高产,08/07/2014,-1,-1,-1,05/16/2020,04/03/2020,01/01/1970,05/16/2020,01/01/1970,029HO18790,0
2,1234.0,67.9605263157895,3,初检-,352.0,352.0,-1.0,1.0,67.9605263157895,67.9605263157895,红达105高产,03/11/2015,-1,-1,-1,01/01/1970,11/19/2019,01/01/1970,05/31/2020,01/01/1970,029HO18790,0
3,1307.0,69.6710526315789,4,已配未检,237.0,237.0,-1.0,2.0,69.6710526315789,69.6710526315789,红达104低产,01/18/2015,-1,-1,-1,01/01/1970,03/13/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0
4,1308.0,69.5723684210526,3,复检+,373.0,373.0,245.0,3.0,69.5723684210526,69.5723684210526,红达104低产,01/21/2015,-1,-1,-1,06/30/2020,10/29/2019,01/01/1970,06/30/2020,03/05/2020,029HO18790,0
5,1323.0,70.0328947368421,5,产后未配,3.0,3.0,-1.0,0.0,70.0328947368421,70.0328947368421,红达301产房,01/07/2015,-1,-1,-1,01/01/1970,11/02/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
6,1352.0,65.23026315789471,3,已配未检,211.0,211.0,-1.0,5.0,65.23026315789471,65.23026315789471,红达102新产,06/02/2015,-1,-1,-1,01/01/1970,04/08/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0
7,1415.0,94.4736842105263,5,复检+,391.0,445.0,170.0,4.0,94.4736842105263,94.4736842105263,红达2号干奶围产,12/25/2012,-1,-1,-1,02/04/2020,08/18/2019,09/11/2020,02/04/2020,01/01/1970,15180513,0
8,1456.0,81.2171052631579,5,初检+,120.0,120.0,54.0,1.0,81.2171052631579,81.2171052631579,红达105高产,02/01/2014,-1,-1,-1,08/31/2020,07/08/2020,01/01/1970,08/31/2020,01/01/1970,029HO18790,0
9,1512.0,87.5986842105263,5,复检+,256.0,256.0,171.0,4.0,87.5986842105263,87.5986842105263,红达103高产,07/22/2013,-1,-1,-1,08/12/2020,02/23/2020,01/01/1970,08/12/2020,01/01/1970,029HO18790,0
