,牛号,月龄,胎次,繁殖状态,泌乳天数,产后天数,空怀天数,配种次数,奶量1,奶量2,牛舍名称,出生日期,父亲牛号,外祖父号,繁殖代码_,怀孕日期,产犊日期,干奶日期,配种日期,流产日期,与配公牛,配种组,RC
0,1121,115,7,复检+,322,322,171,4,115,115,红达103高产,03/25/2011,-1,-1,-1,06/08/2020,12/19/2019,01/01/1970,06/08/2020,01/01/1970,029HO18790,0,5
1,1154,75,4,复检+,216,216,43,1,75,75,红达103高产,08/07/2014,-1,-1,-1,05/16/2020,04/03/2020,01/01/1970,05/16/2020,01/01/1970,029HO18790,0,5
2,1234,67,3,初检-,352,352,-1,1,67,67,红达105高产,03/11/2015,-1,-1,-1,01/01/1970,11/19/2019,01/01/1970,05/31/2020,01/01/1970,029HO18790,0,3
3,1307,69,4,已配未检,237,237,-1,2,69,69,红达104低产,01/18/2015,-1,-1,-1,01/01/1970,03/13/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
4,1308,69,3,复检+,373,373,245,3,69,69,红达104低产,01/21/2015,-1,-1,-1,06/30/2020,10/29/2019,01/01/1970,06/30/2020,03/05/2020,029HO18790,0,5
5,1323,70,5,产后未配,3,3,-1,0,70,70,红达301产房,01/07/2015,-1,-1,-1,01/01/1970,11/02/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
6,1352,65,3,已配未检,211,211,-1,5,65,65,红达102新产,06/02/2015,-1,-1,-1,01/01/1970,04/08/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
7,1415,94,5,复检+,391,445,170,4,94,94,红达2号干奶围产,12/25/2012,-1,-1,-1,02/04/2020,08/18/2019,09/11/2020,02/04/2020,01/01/1970,15180513,0,5
8,1456,81,5,初检+,120,120,54,1,81,81,红达105高产,02/01/2014,-1,-1,-1,08/31/2020,07/08/2020,01/01/1970,08/31/2020,01/01/1970,029HO18790,0,5
9,1512,87,5,复检+,256,256,171,4,87,87,红达103高产,07/22/2013,-1,-1,-1,08/12/2020,02/23/2020,01/01/1970,08/12/2020,01/01/1970,029HO18790,0,5
10,1524,82,5,初检-,149,149,-1,1,82,82,红达103高产,12/30/2013,-1,-1,-1,01/01/1970,06/09/2020,01/01/1970,07/23/2020,01/01/1970,029HO18790,0,3
11,1556,65,3,复检+,358,408,136,4,65,65,红达2号干奶围产,06/09/2015,-1,-1,-1,02/08/2020,09/24/2019,09/15/2020,02/08/2020,01/12/2020,15180513,0,5
12,1560,89,5,产后未配,61,61,-1,0,89,89,红达103高产,05/30/2013,-1,-1,-1,01/01/1970,09/05/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
13,1570,85,5,已配未检,94,94,-1,1,85,85,红达105高产,09/12/2013,-1,-1,-1,01/01/1970,08/03/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0,4
14,1576,65,3,已配未检,82,82,-1,1,65,65,红达103高产,05/21/2015,-1,-1,-1,01/01/1970,08/15/2020,01/01/1970,10/18/2020,01/01/1970,291HO17029,0,4
15,1604,88,6,初检-,161,161,-1,2,88,88,红达103高产,06/29/2013,-1,-1,-1,01/01/1970,05/28/2020,01/01/1970,09/16/2020,01/01/1970,029HO18790,0,3
16,1622,66,4,复检+,250,250,56,1,66,66,红达105高产,05/05/2015,-1,-1,-1,04/25/2020,02/29/2020,01/01/1970,04/25/2020,01/01/1970,029HO18790,0,5
17,1623,86,5,复检+,351,351,180,3,86,86,红达104低产,08/13/2013,-1,-1,-1,05/19/2020,11/20/2019,01/01/1970,05/19/2020,01/01/1970,029HO18790,0,5
18,1625,84,5,初检+,270,270,203,3,84,84,红达105高产,10/10/2013,-1,-1,-1,08/30/2020,02/09/2020,01/01/1970,08/30/2020,01/01/1970,029HO18790,0,5
19,1648,86,5,已配未检,273,273,-1,1,86,86,红达105高产,09/08/2013,-1,-1,-1,01/01/1970,02/06/2020,01/01/1970,10/10/2020,01/01/1970,11116697,0,4
20,1707,85,6,初检+,118,118,67,1,85,85,红达105高产,09/22/2013,-1,-1,-1,09/15/2020,07/10/2020,01/01/1970,09/15/2020,01/01/1970,029HO18790,0,5
21,1751,73,4,初检+,232,232,164,2,73,73,红达105高产,10/08/2014,-1,-1,-1,08/30/2020,03/18/2020,01/01/1970,08/30/2020,01/01/1970,029HO18790,0,5
22,1757,79,4,复检+,252,252,59,1,79,79,红达103高产,03/20/2014,-1,-1,-1,04/26/2020,02/27/2020,01/01/1970,04/26/2020,01/01/1970,029HO18790,0,5
23,1777,79,5,已配未检,102,102,-1,2,79,79,红达102新产,03/13/2014,-1,-1,-1,01/01/1970,07/26/2020,01/01/1970,10/02/2020,01/01/1970,11116697,0,4
24,1792,81,5,复检+,232,232,98,3,81,81,红达103高产,01/11/2014,-1,-1,-1,06/25/2020,03/18/2020,01/01/1970,06/25/2020,01/01/1970,029HO18790,0,5
25,1808,70,3,复检+,455,455,272,6,70,70,红达103高产,12/20/2014,-1,-1,-1,05/06/2020,08/08/2019,01/01/1970,05/06/2020,01/01/1970,029HO18790,0,5
26,1820,81,5,产后未配,19,19,-1,0,81,81,红达102新产,01/22/2014,-1,-1,-1,01/01/1970,10/17/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
27,1843,81,5,复检+,223,223,106,3,81,81,红达105高产,01/22/2014,-1,-1,-1,07/11/2020,03/27/2020,01/01/1970,07/11/2020,01/01/1970,029HO18790,0,5
28,1862,80,6,已配未检,62,62,-1,1,80,80,红达105高产,03/06/2014,-1,-1,-1,01/01/1970,09/04/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
29,1875,78,4,流产未配,294,294,-1,2,78,78,红达103高产,04/27/2014,-1,-1,-1,01/01/1970,01/16/2020,01/01/1970,04/26/2020,09/04/2020,029HO18790,0,3
30,1894,71,4,已配未检,60,60,-1,1,71,71,红达105高产,11/24/2014,-1,-1,-1,01/01/1970,09/06/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
31,1906,72,4,已配未检,99,99,-1,1,72,72,红达103高产,10/24/2014,-1,-1,-1,01/01/1970,07/29/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
32,1915,70,4,初检+,116,116,45,1,70,70,红达105高产,12/24/2014,-1,-1,-1,08/26/2020,07/12/2020,01/01/1970,08/26/2020,01/01/1970,029HO18790,0,5
33,1927,81,5,复检+,386,386,218,4,81,81,红达103高产,01/25/2014,-1,-1,-1,05/21/2020,10/16/2019,01/01/1970,05/21/2020,01/01/1970,029HO18790,0,5
34,1944,70,3,复检+,281,346,60,1,70,70,红达2号干奶围产,01/01/2015,-1,-1,-1,01/25/2020,11/25/2019,08/31/2020,01/25/2020,01/01/1970,15180513,0,5
35,1977,73,5,已配未检,78,78,-1,1,73,73,红达105高产,10/06/2014,-1,-1,-1,01/01/1970,08/19/2020,01/01/1970,10/18/2020,01/01/1970,291HO17029,0,4
36,1979,71,4,复检+,316,366,94,3,71,71,红达2号干奶围产,11/09/2014,-1,-1,-1,02/07/2020,11/05/2019,09/15/2020,02/07/2020,01/01/1970,15180513,0,5
37,1997,68,4,产后未配,53,53,-1,0,68,68,红达103高产,03/09/2015,-1,-1,-1,01/01/1970,09/13/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
38,1998,66,4,已配未检,84,84,-1,1,66,66,红达103高产,05/09/2015,-1,-1,-1,01/01/1970,08/13/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
39,2008,66,4,复检+,244,244,105,3,66,66,红达103高产,05/03/2015,1028,-1,-1,06/20/2020,03/06/2020,01/01/1970,06/20/2020,01/01/1970,029HO18790,0,5
40,2015,67,3,复检+,496,551,274,5,67,67,红达2号干奶围产,03/10/2015,1078,-1,-1,02/02/2020,05/04/2019,09/10/2020,02/02/2020,01/01/1970,15180513,0,5
41,2019,65,3,已配未检,344,344,-1,5,65,65,红达105高产,05/22/2015,1083,-1,-1,01/01/1970,11/27/2019,01/01/1970,10/17/2020,01/01/1970,11116697,0,4
